rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic
0,0.0,0.0,0.0,0.10000000149011612,,False,False,True,1666.6665954589844,1666.6666666666667,2169.87939453125,2170.02685546875,0.0,0.0,500.0,1.953216552734375,0.0,1.25958251953125,0.0,0.0,1666.6665954589844
1,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666600227356,1666.6666666666667,1670.6473388671875,1670.753662109375,6.754451896995306e-05,0.10004520416259766,1.6434999704360962,1.5628279447555542,0.0,0.6743655204772949,0.0,0.0,1666.666600227356
2,0.0,0.0,0.0,0.10000000149011612,,False,False,True,1666.6665344238281,1666.6666666666667,2169.58447265625,2169.273681640625,0.0,0.0,500.0,2.05157470703125,0.0,0.866363525390625,0.0,0.0,1666.6665344238281
3,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666674375534,1666.6666666666667,1669.1556396484375,1669.06640625,0.01871298812329769,0.05542290210723877,0.16599999368190765,1.7679019123315811,0.0,0.49964046478271484,0.0,0.0,1666.666674375534
4,0.06668975829717481,0.03402182650170966,0.0,0.10000000149011612,,True,False,False,1666.6665954589844,1666.6666666666667,1670.468994140625,1670.6954345703125,8.201307355193421e-05,0.04201231151819229,0.0,2.0421339496970177,0.0,1.718252420425415,0.0,0.0,1666.6665954589844
5,0.07427630693661298,0.044276303976464676,0.0,0.10000000149011612,,True,False,False,1666.6665997505188,1666.6666666666667,1671.003662109375,1671.2186279296875,1.4337824723043013e-05,0.034598540514707565,0.0,2.4070806987583637,0.0,1.8953831195831299,0.0,0.0,1666.6665997505188
6,0.0020915603766091806,0.0,0.0,0.10000000149011612,,False,False,False,1666.6665830612183,1666.6666666666667,1671.0684814453125,1671.318603515625,1.0274337000737432e-05,0.031034350395202637,0.0,1.909779667854309,0.0,2.4610843658447266,0.0,0.0,1666.6665830612183
7,0.006809867214794707,0.0,0.0,0.10000000149011612,,False,False,True,1666.6666564941406,1666.6666666666667,2169.200927734375,2169.487548828125,0.0,0.06965170055627823,499.999989412725,1.6522216796875,0.0,0.812408447265625,0.0,0.0,1666.6666564941406
8,0.008787660914855626,0.0,0.0,0.10000000149011612,,False,False,True,1666.6665649414062,1666.6666666666667,2169.713623046875,2169.72216796875,0.0,0.003733563469722867,499.9999895810615,2.26007080078125,0.0,0.78326416015625,0.0,0.0,1666.6665649414062
9,0.07899078580376033,0.03684653124393094,0.0,0.10000000149011612,,True,False,False,1666.666630744934,1666.6666666666667,1670.5977783203125,1670.5150146484375,0.0001496469194535166,0.0,0.0,2.320180892944336,0.0,1.610966682434082,0.0,0.0,1666.666630744934
10,0.0012847961654196887,0.0,0.0,0.10000000149011612,,False,False,False,1666.66659283638,1666.6666666666667,1669.1236572265625,1669.0604248046875,0.0190898347645998,0.04139361530542374,0.0,1.775405429303646,0.0,0.6402653455734253,0.0,0.0,1666.66659283638
11,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666231155396,1666.6666666666667,1669.489013671875,1669.5435791015625,0.0038138595409691334,0.039949703961610794,0.08350000157952309,2.0989120975136757,0.0,0.6000287532806396,0.0,0.0,1666.6666231155396
12,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.666640996933,1666.6666666666667,1670.462158203125,1670.51806640625,0.0001481323706684634,0.01879754103720188,0.08349999599158764,2.25576401501894,0.0,1.437455654144287,0.0,0.0,1666.666640996933
13,0.0,0.0,0.0,0.10000000149011612,,False,False,False,1666.6666703224182,1666.6666666666667,1671.3304443359375,1671.2318115234375,1.372138831357006e-05,0.029244232922792435,0.0,2.2257351391017437,0.0,2.408794641494751,0.0,0.0,1666.6666703224182
