rollout,truth_body_min_clearance_m,truth_padded_min_clearance_m,predicted_padded_min_clearance_m,first_predicted_conflict_s,first_predicted_margin_breach_s,truth_dynamic_safe,predicted_dynamic_safe,costcritic_collision,prediction_score_captured,prediction_score_recomputed,total_score,weighted_score,mppi_probability,critic_FollowPath.ConstraintCritic,critic_FollowPath.CostCritic,critic_FollowPath.GoalCritic,critic_FollowPath.GoalAngleCritic,critic_FollowPath.PathAlignCritic,critic_FollowPath.PathFollowCritic,critic_FollowPath.PathAngleCritic,critic_FollowPath.PredictionV1Critic,uniform_center_overlap_fraction
10,0.18219932680109352,0.14330269367113235,0.0,0.9000000134110451,,True,False,False,1666.666666507721,1666.6666666666667,1672.2342529296875,1672.2103271484375,0.0,0.0,0.0,1.5785512924194336,3.989035129547119,0.0,0.0,0.0,1666.666666507721,0.0
11,0.21920912173764912,0.1828447312678867,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6666173934937,1666.6666666666667,1672.800048828125,1672.8919677734375,0.0,0.0,0.0,1.8402401208877563,4.293191313743591,0.0,0.0,0.0,1666.6666173934937,0.0
12,0.35795314516767734,0.32795314220752875,0.0,0.6000000089406967,,True,False,False,1666.6833047866821,1666.6833149059128,1672.9681396484375,1673.008544921875,0.0,0.0,0.0,1.6604952812194824,4.624339580535889,0.0,0.0,0.0,1666.6833047866821,9.988943547642565e-06
13,0.2550601612120751,0.21872972096543464,0.0,0.800000011920929,,True,False,False,1666.6666822433472,1666.6666666666667,1673.2681884765625,1673.2601318359375,0.0,0.0,0.0,1.6453795433044434,4.956126689910889,0.0,0.0,0.0,1666.6666822433472,0.0
14,0.12686315055296582,0.08492407209118724,0.008571712688571384,,0.9000000134110451,True,False,False,0.5,0.5,6.038887977600098,6.028652667999268,0.011004744097590446,0.0,0.0,1.6823166608810425,3.856571316719055,0.0,0.0,0.0,0.5,0.0
15,0.32078512507773826,0.2866133816487437,0.0,0.7000000104308128,0.5000000074505806,True,False,False,1666.6666712760925,1666.6666666666667,1672.6988525390625,1672.7498779296875,0.0,0.0,0.0,1.4336872100830078,4.598494052886963,0.0,0.0,0.0,1666.6666712760925,0.0
16,0.22170268766008405,0.17928476360897871,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.7079620361328,1666.7079714244699,1672.002685546875,1672.017578125,0.0,0.0,0.0,1.6402263641357422,3.6544971466064453,0.0,0.0,0.0,1666.7079620361328,2.4782854681911162e-05
17,0.20671565450148782,0.17671565154133934,0.0,0.5000000074505806,0.4000000059604645,True,False,False,1666.8312282562256,1666.8312223863945,1671.964599609375,1671.980712890625,0.0,0.0,0.0,1.0127348899841309,4.120636463165283,0.0,0.0,0.0,1666.8312282562256,9.873343183662063e-05
18,0.24846501555252054,0.2064977732261264,0.03678761768682599,,,True,True,False,0.0,0.0,4.936354160308838,5.116088390350342,0.23048995435237885,0.0012835025554522872,0.0,1.987876558327116,2.9471940994262695,0.0,0.0,0.0,0.0,0.0
19,0.13767957279316612,0.09627381679386104,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.6666703224182,1666.6666666666667,1672.3089599609375,1672.2130126953125,0.0,0.0,0.0,1.8253635168075562,3.816926121711731,0.0,0.0,0.0,1666.6666703224182,0.0
20,0.3065856135061207,0.26724447234630555,0.001594948644730493,,0.9000000134110451,True,False,False,0.5,0.5,6.134450912475586,6.212882995605469,0.005954964552074671,0.0,0.0,1.8704808950424194,3.7639700174331665,0.0,0.0,0.0,0.5,0.0
21,0.09039468136986761,0.052782702980707086,0.0,0.7000000104308128,,True,False,False,1666.666573047638,1666.6666666666667,1672.2703857421875,1672.4862060546875,0.0,0.0,0.0,1.6180239915847778,3.9857887029647827,0.0,0.0,0.0,1666.666573047638,0.0
22,0.22369189102482728,0.19369188806467966,0.0,0.800000011920929,0.7000000104308128,True,False,False,1666.687569618225,1666.687606709358,1672.414306640625,1672.3955078125,0.0,0.0,0.0,1.3486461639404297,4.378090858459473,0.0,0.0,0.0,1666.687569618225,1.2564025614834728e-05
23,0.20773825599703322,0.16540651671225876,0.0,0.7000000104308128,0.6000000089406967,True,False,False,1666.6684098243713,1666.6684625442058,1672.4349365234375,1672.4483642578125,0.0,0.0,0.0,1.680682897567749,4.085843801498413,0.0,0.0,0.0,1666.6684098243713,1.0775265233889474e-06
24,0.15900936029750457,0.12900935733735594,0.0,0.9000000134110451,0.800000011920929,True,False,False,1666.6666569709778,1666.6666666666667,1672.489990234375,1672.5709228515625,0.0,0.0,0.0,1.423035740852356,4.400297522544861,0.0,0.0,0.0,1666.6666569709778,0.0
